country,expense,year,life,continent
Panama,500.2029908,1997,74.5250487805,North America
Papua New Guinea,57.79789814,1997,57.9062926829,Oceania
Paraguay,314.13888162,1997,69.3270487805,South America
Peru,216.51202176,1997,69.0325365854,South America
Philippines,115.19280823,1997,66.3214634146,Asia
Poland,492.46999383,1997,72.6463414634,Europe
Portugal,1160.62907326,1997,75.412195122,Europe
Qatar,2400.16859802,1997,76.1305365854,Asia
Romania,232.67549605,1997,69.0048780488,Europe
Rwanda,25.92165432,1997,39.804804878,Africa
Samoa,137.73134187,1997,68.3705365854,Oceania
San Marino,2150.26678883,1997,79.4731707317,Europe
Saudi Arabia,815.58477094,1997,71.7542926829,Asia
Senegal,52.78921713,1997,57.3033658537,Africa
Serbia,284.25559049,1997,72.0390243902,Europe
Seychelles,716.05494811,1997,71.4146341463,Africa
Sierra Leone,89.16579493,1997,36.426195122,Africa
Singapore,1064.31462434,1997,76.8975609756,Asia
Slovenia,1150.64347629,1997,74.7073170732,Europe
Solomon Islands,53.63312048,1997,60.9086097561,Oceania
South Africa,615.47124411,1997,59.613195122,Africa
Spain,1298.84155697,1997,78.6041463415,Europe
Sri Lanka,111.55552453,1997,69.5046585366,Asia
Sudan,72.71561739,1997,57.0558780488,Africa
Suriname,756.28171947,1997,67.8518780488,South America
Swaziland,199.69135879,1997,53.4372439024,Africa
Sweden,1884.67655027,1997,79.1975609756,Europe
Switzerland,2845.5692346,1997,79.0795121951,Europe
Tajikistan,28.66185748,1997,62.7973414634,Asia
Tanzania,36.63518648,1997,48.9524878049,Africa
Thailand,310.74992307,1997,70.2823902439,Asia
Togo,44.52183571,1997,53.9733902439,Africa
Tonga,143.29989961,1997,70.3636829268,Oceania
Trinidad and Tobago,515.97603174,1997,68.4726097561,North America
Tunisia,253.34808943,1997,71.9024390244,Africa
Turkey,261.61425754,1997,68.1996829268,Asia
Turkmenistan,158.09863172,1997,63.4001219512,Asia
Uganda,53.03064843,1997,44.3188780488,Africa
Ukraine,235.65577791,1997,67.2953658537,Europe
United Arab Emirates,2085.38392706,1997,73.6526585366,Asia
United Kingdom,1483.33206541,1997,77.2109756098,Europe
United States,4116.24644468,1997,76.4292682927,North America
Uruguay,824.82603295,1997,74.005,South America
Uzbekistan,118.28802975,1997,66.5711219512,Asia
Vanuatu,61.3970525,1997,66.330097561,Oceania
Vietnam,82.65043304,1997,72.4035121951,Asia
Zambia,99.72434015,1997,42.158195122,Africa
Albania,239.40639574,1998,73.3265853659,Europe
Algeria,268.85153941,1998,69.3409512195,Africa
Angola,79.53522966,1998,43.7142682927,Africa
Antigua and Barbuda,652.80500955,1998,72.9737804878,North America
Argentina,798.54125101,1998,73.3276829268,South America
Armenia,115.83368462,1998,70.2402195122,Asia
Australia,1976.65066949,1998,78.6317073171,Oceania
Austria,2621.93125943,1998,77.6707317073,Europe
Azerbaijan,156.28326228,1998,65.9233658537,Asia
Bahrain,1653.97033002,1998,74.203097561,Asia
Bangladesh,26.70631957,1998,64.0591463415,Asia
Barbados,519.19935728,1998,72.8706585366,North America
Belarus,301.99020178,1998,68.4073170732,Europe
Belgium,1923.79862863,1998,77.4731707317,Europe
Belize,176.15547634,1998,68.653902439,North America
Benin,49.07447204,1998,54.8901463415,Africa
Bhutan,181.94045866,1998,58.8886829268,Asia
Bolivia,173.30721042,1998,59.5542682927,South America
Bosnia and Herzegovina,308.2004671,1998,73.4372926829,Europe
Botswana,326.74153668,1998,50.8123414634,Africa
Brazil,559.85986189,1998,69.113097561,South America
Brunei Darussalam,2501.4078473,1998,74.8755365854,Asia
Bulgaria,284.97153422,1998,71.0609756098,Europe
Burkina Faso,40.64801576,1998,49.7769268293,Africa
Burundi,31.84791126,1998,50.6920487805,Africa
Cambodia,54.25003265,1998,56.7916097561,Asia
Cameroon,78.92748857,1998,52.4467317073,Africa
Canada,2319.94231105,1998,78.6624390244,North America
Central African Republic,24.43592798,1998,45.3702926829,Africa
Chad,44.80134234,1998,47.5632195122,Africa
Chile,566.52673118,1998,76.0446585366,South America
Colombia,569.74102415,1998,70.3949512195,South America
Comoros,42.18844901,1998,59.2709268293,Africa
Costa Rica,492.95102517,1998,77.0969268293,North America
Croatia,667.52808112,1998,72.3170731707,Europe
Cuba,442.10370451,1998,76.1930731707,North America
Cyprus,955.46636202,1998,77.7009268293,Asia
Czech Republic,924.45453464,1998,74.5146341463,Europe
Denmark,2134.48299835,1998,76.1390243902,Europe
Djibouti,84.51072151,1998,56.9877317073,Africa
Dominican Republic,305.94947308,1998,70.2636585366,North America
Ecuador,217.54169903,1998,72.3081463415,South America
El Salvador,396.17030952,1998,68.157804878,North America
Equatorial Guinea,270.07634943,1998,51.488195122,Africa
Eritrea,60.31917186,1998,54.7393414634,Africa
Estonia,467.4076785,1998,69.3585365854,Europe
Ethiopia,16.76469257,1998,50.8302926829,Africa
Fiji,148.5419239,1998,67.2308536585,Oceania
Finland,1659.80548729,1998,77.0907317073,Europe
France,2311.40352796,1998,78.6048780488,Europe
Gabon,667.67134397,1998,59.976804878,Africa
Georgia,141.76840597,1998,71.0035121951,Asia
Germany,2483.45646696,1998,77.4756097561,Europe
Ghana,82.86623419,1998,57.0239268293,Africa
Greece,1384.29185724,1998,77.8390243902,Europe
Grenada,484.00079015,1998,69.8474634146,North America
Guatemala,173.92734222,1998,66.6615609756,North America
Guinea,28.5298997,1998,51.4751707317,Africa
Guinea-Bissau,67.98115023,1998,51.1306341463,Africa
Guyana,202.85807326,1998,64.6846341463,South America
Haiti,79.50836001,1998,57.1690243902,North America
Honduras,150.32780215,1998,69.9589756098,North America
Hungary,761.81244415,1998,70.557804878,Europe
Iceland,2496.12849683,1998,79.6024390244,Europe
India,75.82378273,1998,61.8072195122,Asia
Indonesia,88.55602709,1998,65.8293902439,Asia
Israel,1621.66965317,1998,78.1487804878,Asia
Italy,1863.96278581,1998,78.9756097561,Europe
Jamaica,338.23894435,1998,72.0868536585,North America
Japan,1724.9749588,1998,80.5014634146,Asia
Jordan,526.59164109,1998,71.4328780488,Asia
Kazakhstan,310.02053899,1998,64.5609756098,Asia
Kenya,75.57269544,1998,51.6425853659,Africa
Kiribati,89.174498,1998,63.432902439,Oceania
Kuwait,2673.9824598,1998,73.1589512195,Asia
Latvia,310.22167828,1998,69.012195122,Europe
Lebanon,1110.26058134,1998,73.4614146341,Asia
Lesotho,82.217476,1998,51.0550731707,Africa
Liberia,15.6648731,1998,52.0707560976,Africa
Libya,705.28556929,1998,70.341804878,Africa
Lithuania,485.07195314,1998,71.2195121951,Europe
Luxembourg,2465.59525727,1998,77.0170731707,Europe
Madagascar,48.31561471,1998,57.0204390244,Africa
Malawi,27.21829477,1998,43.734097561,Africa
Malaysia,317.9314909,1998,72.4816585366,Asia
Maldives,252.68337671,1998,68.1838292683,Asia
Mali,60.2521898,1998,48.1894878049,Africa
Malta,1098.73946519,1998,77.387804878,Europe
Mauritania,95.5686406,1998,59.8255121951,Africa
Mauritius,282.00176047,1998,70.6073170732,Africa
Mexico,424.64148755,1998,73.7514146341,North America
Moldova,142.93811929,1998,66.6303170732,Europe
Mongolia,140.11210863,1998,62.0795365854,Asia
